Gene,XGB_Rank,AE_Rank,Combined_Score
CHI3L2,0.0,0.46926785,0.23463392
RP11-242F4.2,0.0,0.46914798,0.23457399
PITPNA-AS1,0.0,0.46912882,0.23456441
ADIPOR2,0.0,0.46898338,0.23449169
UBE2C,0.0,0.46886975,0.23443487
CCDC174,0.0,0.4686527,0.23432635
RTN2,0.0,0.46853426,0.23426713
KB-1460A1.3,0.0,0.46843752,0.23421876
TSC22D1,0.0,0.46843678,0.23421839
RP11-1136J12.1,0.0,0.46841154,0.23420577
HCFC2,0.0,0.46838084,0.23419042
RP11-700J17.2,0.0,0.4683657,0.23418285
ARMC7,0.0,0.4683178,0.2341589
CCNB3,0.0,0.46827686,0.23413843
ZNF836,0.0,0.46792263,0.23396131
ABCG2,0.0,0.46791637,0.23395818
KB-226F1.1,0.0,0.46790254,0.23395127
RIOK1,0.0,0.4677919,0.23389594
KPNA1,0.0,0.46772084,0.23386042
PEMT,0.0,0.4676992,0.2338496
NKAP,0.0,0.4675262,0.2337631
KLRC1,0.0,0.4672195,0.23360975
CTA-989H11.1,0.0,0.46712363,0.23356181
ZFAND4,0.0,0.46708035,0.23354018
NUDCD1,0.0,0.46702567,0.23351283
PNPLA8,0.0,0.4669481,0.23347405
ARL2BP,0.0,0.4666387,0.23331936
MRP63,0.0,0.46650586,0.23325293
TRIM23,0.0,0.46650365,0.23325182
RP5-1073O3.7,0.0,0.46645343,0.23322672
RP11-1000B6.3,0.0,0.46639934,0.23319967
TMEM234,0.0,0.46632692,0.23316346
MICALCL,0.0,0.4662981,0.23314905
POLR2K,0.0,0.46604636,0.23302318
CABP5,0.0,0.465803,0.2329015
SPIN1,0.0,0.46572885,0.23286442
SLC20A2,0.0,0.46566078,0.23283039
TCL1A,0.0,0.46559837,0.23279919
PPIE,0.0,0.46525896,0.23262948
IL27RA,0.0,0.46524385,0.23262192
PHF12,0.0,0.46518356,0.23259178
TSSC1,0.0,0.4650876,0.2325438
RP11-527L4.5,0.0,0.46503216,0.23251608
FYB,0.0,0.4649718,0.2324859
CMTM7,0.0,0.46482894,0.23241447
CHD7,0.0,0.4648242,0.2324121
