,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
307,GO_Biological_Process_2023,Regulation Of B Cell Proliferation (GO:0030888),1/44,0.053603276456753,0.0840373711483161,0,0,19.313953488372093,56.51543006900448,TYROBP
308,GO_Biological_Process_2023,Positive Regulation Of Chemotaxis (GO:0050921),1/44,0.053603276456753,0.0840373711483161,0,0,19.313953488372093,56.51543006900448,AIF1
309,GO_Biological_Process_2023,Regulation Of Cellular Metabolic Process (GO:0031323),1/45,0.054788877942146,0.0855826268585347,0,0,18.87405303030303,54.81530943314256,NPC2
310,GO_Biological_Process_2023,Epithelial Cell Migration (GO:0010631),1/46,0.0559730535406075,0.0858654728149822,0,0,18.453703703703702,53.19990358724921,S100A9
311,GO_Biological_Process_2023,Regulation Of Cytokine Production Involved In Inflammatory Response (GO:1900015),1/46,0.0559730535406075,0.0858654728149822,0,0,18.453703703703702,53.19990358724921,PYCARD
312,GO_Biological_Process_2023,T Cell Differentiation (GO:0030217),1/46,0.0559730535406075,0.0858654728149822,0,0,18.453703703703702,53.19990358724921,FCER1G
313,GO_Biological_Process_2023,Cellular Component Disassembly (GO:0022411),1/46,0.0559730535406075,0.0858654728149822,0,0,18.453703703703702,53.19990358724921,CTSS
314,GO_Biological_Process_2023,Response To Hydrogen Peroxide (GO:0042542),1/46,0.0559730535406075,0.0858654728149822,0,0,18.453703703703702,53.19990358724921,GPX1
315,GO_Biological_Process_2023,Cellular Response To Cytokine Stimulus (GO:0071345),2/308,0.0562068691425022,0.0859162142606819,0,0,5.5893719806763285,16.090216243279567,PYCARD;AIF1
316,GO_Biological_Process_2023,Regulation Of Apoptotic Process (GO:0042981),3/705,0.0564244848612914,0.0859419200022517,0,0,3.743783993783994,10.762825223832866,PYCARD;LGALS2;LGALS1
317,GO_Biological_Process_2023,Epithelial To Mesenchymal Transition (GO:0001837),1/47,0.057155804891704,0.0861362130058075,0,0,18.05163043478261,51.66330275637264,S100A4
318,GO_Biological_Process_2023,Negative Regulation Of Hydrolase Activity (GO:0051346),1/47,0.057155804891704,0.0861362130058075,0,0,18.05163043478261,51.66330275637264,CST3
319,GO_Biological_Process_2023,Positive Regulation Of Smooth Muscle Cell Proliferation (GO:0048661),1/47,0.057155804891704,0.0861362130058075,0,0,18.05163043478261,51.66330275637264,AIF1
320,GO_Biological_Process_2023,Positive Regulation Of Reactive Oxygen Species Metabolic Process (GO:2000379),1/48,0.0583371336275197,0.0869975372563709,0,0,17.666666666666668,50.20012391375553,TYROBP
321,GO_Biological_Process_2023,Cellular Defense Response (GO:0006968),1/48,0.0583371336275197,0.0869975372563709,0,0,17.666666666666668,50.20012391375553,TYROBP
322,GO_Biological_Process_2023,Regulation Of Tumor Necrosis Factor-Mediated Signaling Pathway (GO:0010803),1/48,0.0583371336275197,0.0869975372563709,0,0,17.666666666666668,50.20012391375553,PYCARD
323,GO_Biological_Process_2023,Unsaturated Fatty Acid Metabolic Process (GO:0033559),1/49,0.0595170414020208,0.0875370918215289,0,0,17.297743055555557,48.80545398159523,GPX1
324,GO_Biological_Process_2023,Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage (GO:0008630),1/49,0.0595170414020208,0.0875370918215289,0,0,17.297743055555557,48.80545398159523,PYCARD
325,GO_Biological_Process_2023,Negative Regulation Of T Cell Activation (GO:0050868),1/49,0.0595170414020208,0.0875370918215289,0,0,17.297743055555557,48.80545398159523,LGALS3
326,GO_Biological_Process_2023,Negative Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0043154),1/49,0.0595170414020208,0.0875370918215289,0,0,17.297743055555557,48.80545398159523,GPX1
327,GO_Biological_Process_2023,Regulation Of Interferon-Beta Production (GO:0032648),1/50,0.0606955298241754,0.0883594787916567,0,0,16.943877551020407,47.47480020477031,PYCARD
328,GO_Biological_Process_2023,Blood Circulation (GO:0008015),1/50,0.0606955298241754,0.0883594787916567,0,0,16.943877551020407,47.47480020477031,GPX1
329,GO_Biological_Process_2023,Positive Regulation Of Cell Death (GO:0010942),1/50,0.0606955298241754,0.0883594787916567,0,0,16.943877551020407,47.47480020477031,TYROBP
330,GO_Biological_Process_2023,Positive Regulation Of Leukocyte Mediated Cytotoxicity (GO:0001912),1/51,0.0618726005630431,0.0885667994681687,0,0,16.604166666666668,46.204046595553486,TYROBP
331,GO_Biological_Process_2023,Positive Regulation Of Protein Localization To Cell Periphery (GO:1904377),1/51,0.0618726005630431,0.0885667994681687,0,0,16.604166666666668,46.204046595553486,LGALS3
332,GO_Biological_Process_2023,Positive Regulation Of Protein Localization To Plasma Membrane (GO:1903078),1/51,0.0618726005630431,0.0885667994681687,0,0,16.604166666666668,46.204046595553486,LGALS3
333,GO_Biological_Process_2023,Receptor Internalization (GO:0031623),1/51,0.0618726005630431,0.0885667994681687,0,0,16.604166666666668,46.204046595553486,FCER1G
334,GO_Biological_Process_2023,Cholesterol Transport (GO:0030301),1/51,0.0618726005630431,0.0885667994681687,0,0,16.604166666666668,46.204046595553486,NPC2
335,GO_Biological_Process_2023,Arachidonic Acid Metabolic Process (GO:0019369),1/52,0.0630482552333339,0.0896500107636774,0,0,16.27777777777778,44.98941570457079,GPX1
336,GO_Biological_Process_2023,Regulation Of Proteolysis (GO:0030162),1/52,0.0630482552333339,0.0896500107636774,0,0,16.27777777777778,44.98941570457079,CST3
337,GO_Biological_Process_2023,Actin Polymerization Or Depolymerization (GO:0008154),1/53,0.0642224954747202,0.0901220592235417,0,0,15.963942307692308,43.827434874789176,AIF1
338,GO_Biological_Process_2023,Regulation Of Macromolecule Biosynthetic Process (GO:0010556),1/53,0.0642224954747202,0.0901220592235417,0,0,15.963942307692308,43.827434874789176,S100A9
339,GO_Biological_Process_2023,Regulation Of Proteasomal Protein Catabolic Process (GO:0061136),1/53,0.0642224954747202,0.0901220592235417,0,0,15.963942307692308,43.827434874789176,GPX1
340,GO_Biological_Process_2023,Positive Regulation Of NIK/NF-kappaB Signaling (GO:1901224),1/53,0.0642224954747202,0.0901220592235417,0,0,15.963942307692308,43.827434874789176,PYCARD
341,GO_Biological_Process_2023,Positive Regulation Of Leukocyte Chemotaxis (GO:0002690),1/54,0.0653953228992461,0.0905799294526774,0,0,15.66194968553459,42.71490645721221,AIF1
342,GO_Biological_Process_2023,Negative Regulation Of Protein Catabolic Process (GO:0042177),1/54,0.0653953228992461,0.0905799294526774,0,0,15.66194968553459,42.71490645721221,CST3
343,GO_Biological_Process_2023,Regulation Of Lipid Metabolic Process (GO:0019216),1/54,0.0653953228992461,0.0905799294526774,0,0,15.66194968553459,42.71490645721221,NPC2
344,GO_Biological_Process_2023,Mesenchymal Cell Differentiation (GO:0048762),1/54,0.0653953228992461,0.0905799294526774,0,0,15.66194968553459,42.71490645721221,S100A4
345,GO_Biological_Process_2023,Regulation Of Cation Channel Activity (GO:2001257),1/56,0.067736745861726,0.0935204104155443,0,0,15.090909090909092,40.6266358411004,CTSS
346,GO_Biological_Process_2023,Positive Regulation Of Mitochondrion Organization (GO:0010822),1/58,0.0700725371329717,0.0955128850092735,0,0,14.559941520467836,38.70359077425905,PYCARD
347,GO_Biological_Process_2023,Regulation Of Neuron Death (GO:1901214),1/58,0.0700725371329717,0.0955128850092735,0,0,14.559941520467836,38.70359077425905,TYROBP
348,GO_Biological_Process_2023,Positive Regulation Of Type II Interferon Production (GO:0032729),1/58,0.0700725371329717,0.0955128850092735,0,0,14.559941520467836,38.70359077425905,PYCARD
349,GO_Biological_Process_2023,Regulation Of Bone Mineralization (GO:0030500),1/58,0.0700725371329717,0.0955128850092735,0,0,14.559941520467836,38.70359077425905,SRGN
350,GO_Biological_Process_2023,Positive Regulation Of Proteolysis (GO:0045862),1/59,0.071238324931138,0.0961829749858898,0,0,14.308189655172416,37.79829278577611,CTSS
351,GO_Biological_Process_2023,Phospholipid Transport (GO:0015914),1/59,0.071238324931138,0.0961829749858898,0,0,14.308189655172416,37.79829278577611,NPC2
352,GO_Biological_Process_2023,Regulation Of Type I Interferon Production (GO:0032479),1/59,0.071238324931138,0.0961829749858898,0,0,14.308189655172416,37.79829278577611,TYROBP
353,GO_Biological_Process_2023,Negative Regulation Of Peptidase Activity (GO:0010466),1/60,0.0724027096697759,0.0974476721341638,0,0,14.064971751412427,36.927745838789015,CST3
354,GO_Biological_Process_2023,Positive Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901992),1/63,0.0758874616960385,0.1018176602065971,0,0,13.38239247311828,34.506549888818924,AIF1
355,GO_Biological_Process_2023,Positive Regulation Of Cysteine-Type Endopeptidase Activity (GO:2001056),1/64,0.0770462503405892,0.103049359830538,0,0,13.16931216931217,33.75754823262795,PYCARD
356,GO_Biological_Process_2023,Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844),1/65,0.0782036440133172,0.1041899624415265,0,0,12.962890625,33.03513646067728,S100A9
357,GO_Biological_Process_2023,Negative Regulation Of Endopeptidase Activity (GO:0010951),1/66,0.079359644289574,0.1041899624415265,0,0,12.762820512820513,32.33799172322633,CST3
358,GO_Biological_Process_2023,Negative Regulation Of Immune Response (GO:0050777),1/66,0.079359644289574,0.1041899624415265,0,0,12.762820512820513,32.33799172322633,LGALS3
359,GO_Biological_Process_2023,Regulation Of Endocytosis (GO:0030100),1/66,0.079359644289574,0.1041899624415265,0,0,12.762820512820513,32.33799172322633,LGALS3
360,GO_Biological_Process_2023,Cellular Response To Type II Interferon (GO:0071346),1/66,0.079359644289574,0.1041899624415265,0,0,12.762820512820513,32.33799172322633,AIF1
361,GO_Biological_Process_2023,Response To Reactive Oxygen Species (GO:0000302),1/66,0.079359644289574,0.1041899624415265,0,0,12.762820512820513,32.33799172322633,GPX1
362,GO_Biological_Process_2023,Negative Regulation Of Cell Population Proliferation (GO:0008285),2/379,0.0807405430433013,0.1056787535857277,0,0,4.520355207011879,11.375539142215525,FTH1;AIF1
